"","y","m","state","county","mean_spi"
"91","2014",2,"Eastern Equatoria","Lafon",-0.202574996727156
"92","2014",2,"Eastern Equatoria","Magwi",-0.309114811211981
"93","2014",2,"Eastern Equatoria","Torit",-0.729402653064567
"94","2014",2,"Jonglei","Akobo",1.04294149251929
"95","2014",2,"Jonglei","Ayod",0.952500452729259
"96","2014",2,"Jonglei","Bor South",0.584819726315038
"97","2014",2,"Jonglei","Canal/Pigi",1.02071918138244
"98","2014",2,"Jonglei","Duk",1.39937767982816
"99","2014",2,"Jonglei","Fangak",1.13676055638097
"100","2014",2,"Jonglei","Nyirol",1.35132961280555
"101","2014",2,"Jonglei","Pibor",0.197235472350221
"102","2014",2,"Jonglei","Pochalla",0.335341690517253
"103","2014",2,"Jonglei","Twic East",1.40973978624327
"104","2014",2,"Jonglei","Uror",1.19876273530339
"105","2014",2,"Lakes","Awerial",0.673322942618335
"106","2014",2,"Lakes","Cueibet",0.348903848335093
"107","2014",2,"Lakes","Rumbek Centre",0.307424599342903
"108","2014",2,"Lakes","Rumbek East",-0.202487180019926
"109","2014",2,"Lakes","Rumbek North",0.592713896763354
"110","2014",2,"Lakes","Wulu",0.11396547163786
"111","2014",2,"Lakes","Yirol East",0.628106321928131
"112","2014",2,"Lakes","Yirol West",0.638865628641218
"113","2014",2,"Northern Bahr el Ghazal","Aweil Centre",0.202215705941111
"114","2014",2,"Northern Bahr el Ghazal","Aweil East",0.588983768643507
"115","2014",2,"Northern Bahr el Ghazal","Aweil North",0.592532668587155
"116","2014",2,"Northern Bahr el Ghazal","Aweil South",0.580729844584749
"117","2014",2,"Northern Bahr el Ghazal","Aweil West",0.339632361877157
"118","2014",2,"Unity","Abiemnhom",0.985738731975407
"119","2014",2,"Unity","Guit",1.55621664106825
"120","2014",2,"Unity","Koch",1.59054260792766
"121","2014",2,"Unity","Leer",0.710801912269151
"122","2014",2,"Unity","Mayendit",0.736791085134871
"123","2014",2,"Unity","Mayom",1.50446026878502
"124","2014",2,"Unity","Panyijiar",0.364775314655203
"125","2014",2,"Unity","Pariang",1.11821689574704
"126","2014",2,"Unity","Rubkona",1.52811857320267
"127","2014",2,"Upper Nile","Baliet",1.1655584167692
"128","2014",2,"Upper Nile","Fashoda",0.816455763653735
"129","2014",2,"Upper Nile","Longochuk",0.556952210500105
"130","2014",2,"Upper Nile","Luakpiny/Nasir",1.11355752616177
"131","2014",2,"Upper Nile","Maban",0.866902820924566
"132","2014",2,"Upper Nile","Maiwut",0.0995845188001234
"133","2014",2,"Upper Nile","Malakal",0.891598341701126
"134","2014",2,"Upper Nile","Manyo",0.797848862826166
"135","2014",2,"Upper Nile","Melut",0.722902480203021
"136","2014",2,"Upper Nile","Panyikang",1.09369526220785
"137","2014",2,"Upper Nile","Renk",0.806303758031464
"138","2014",2,"Upper Nile","Ulang",1.22136839418843
"139","2014",2,"Warrap","Gogrial East",0.700642932679098
"140","2014",2,"Warrap","Gogrial West",0.544512602670507
"141","2014",2,"Warrap","Tonj East",1.53078172005414
"142","2014",2,"Warrap","Tonj North",1.67464691208756
"143","2014",2,"Warrap","Tonj South",1.16002646906587
"144","2014",2,"Warrap","Twic",0.816317967387948
"145","2014",2,"Western Bahr el Ghazal","Jur River",0.808222545687443
"146","2014",2,"Western Bahr el Ghazal","Raja",0.192434205900636
"147","2014",2,"Western Bahr el Ghazal","Wau",0.521524984115036
"148","2014",2,"Western Equatoria","Ezo",0.166738168210839
"149","2014",2,"Western Equatoria","Ibba",-0.187189543242174
"150","2014",2,"Western Equatoria","Maridi",0.00171851586728426
"151","2014",2,"Western Equatoria","Mundri East",0.145797100110428
"152","2014",2,"Western Equatoria","Mundri West",0.406300641190882
"153","2014",2,"Western Equatoria","Mvolo",0.275894350273483
"154","2014",2,"Western Equatoria","Nagero",0.386377035059541
"155","2014",2,"Western Equatoria","Nzara",-0.0151029504934188
"156","2014",2,"Western Equatoria","Tambura",0.379089641983547
"157","2014",2,"Western Equatoria","Yambio",-0.15719151837902
"158","2014",2,"Warrap","Abyei Region",0.899652218156173
"159","2014",3,"Central Equatoria","Juba",0.596265654020347
"160","2014",3,"Central Equatoria","Kajo-keji",0.622004875936991
"161","2014",3,"Central Equatoria","Lainya",0.903457016512368
"162","2014",3,"Central Equatoria","Morobo",0.980369397358508
"163","2014",3,"Central Equatoria","Terekeka",0.553296193447463
"164","2014",3,"Central Equatoria","Yei",1.05754490885764
"165","2014",3,"Eastern Equatoria","Budi",0.995950671243367
"166","2014",3,"Eastern Equatoria","Ikotos",0.279039694015955
"167","2014",3,"Eastern Equatoria","Kapoeta East",1.273015370962
"168","2014",3,"Eastern Equatoria","Kapoeta North",0.962004601648312
"169","2014",3,"Eastern Equatoria","Kapoeta South",1.21052937502451
"170","2014",3,"Eastern Equatoria","Lafon",0.581053151785978
"171","2014",3,"Eastern Equatoria","Magwi",0.440371408338796
"172","2014",3,"Eastern Equatoria","Torit",0.31100869460016
"173","2014",3,"Jonglei","Akobo",0.119552210254108
"174","2014",3,"Jonglei","Ayod",0.134645442621771
"175","2014",3,"Jonglei","Bor South",0.170836224226093
"176","2014",3,"Jonglei","Canal/Pigi",0.449507042119749
"177","2014",3,"Jonglei","Duk",0.0673502998695888
"178","2014",3,"Jonglei","Fangak",0.480381929446304
"179","2014",3,"Jonglei","Nyirol",0.420897246449221
"180","2014",3,"Jonglei","Pibor",0.706019344936542
"181","2014",3,"Jonglei","Pochalla",0.839028327612088
"182","2014",3,"Jonglei","Twic East",0.155563135615905
"183","2014",3,"Jonglei","Uror",0.132879872098306
"184","2014",3,"Lakes","Awerial",0.275448543173356
"185","2014",3,"Lakes","Cueibet",1.06968926206717
"186","2014",3,"Lakes","Rumbek Centre",1.06914775886898
"187","2014",3,"Lakes","Rumbek East",0.946259812764138
"188","2014",3,"Lakes","Rumbek North",0.732577462447903
"189","2014",3,"Lakes","Wulu",0.929486196167372
"190","2014",3,"Lakes","Yirol East",0.431855040789398
"191","2014",3,"Lakes","Yirol West",0.840642345315773
"192","2014",3,"Northern Bahr el Ghazal","Aweil Centre",0.244819897113131
"193","2014",3,"Northern Bahr el Ghazal","Aweil East",0.290913020855206
"194","2014",3,"Northern Bahr el Ghazal","Aweil North",0.390123600103005
"195","2014",3,"Northern Bahr el Ghazal","Aweil South",0.639034593777798
"196","2014",3,"Northern Bahr el Ghazal","Aweil West",0.421914228354033
"197","2014",3,"Unity","Abiemnhom",0.301724077175295
"198","2014",3,"Unity","Guit",0.661999948906955
"199","2014",3,"Unity","Koch",0.351907537411421
"200","2014",3,"Unity","Leer",-0.163757290065671
"201","2014",3,"Unity","Mayendit",-0.0141749256498761
"202","2014",3,"Unity","Mayom",0.575789652265461
"203","2014",3,"Unity","Panyijiar",0.285210405045583
"204","2014",3,"Unity","Pariang",0.604121848941061
"205","2014",3,"Unity","Rubkona",0.439310651154637
"206","2014",3,"Upper Nile","Baliet",1.09278875204153
"207","2014",3,"Upper Nile","Fashoda",1.01006305964998
"208","2014",3,"Upper Nile","Longochuk",1.00990627972619
"209","2014",3,"Upper Nile","Luakpiny/Nasir",0.760338834046889
"210","2014",3,"Upper Nile","Maban",1.10485560574803
